Date,Total_Emission,Aviation,Ground_Transport,Industry,Power,Residential
2027-01-01,53.6815,4.0702,7.5798,17.9341,15.1774,8.92
2027-01-02,53.1456,4.0295,7.5041,17.755,15.0259,8.8309
2027-01-03,52.6903,3.995,7.4399,17.6029,14.8972,8.7553
2027-01-04,52.642,3.9914,7.433,17.5868,14.8835,8.7473
2027-01-05,53.0223,4.0202,7.4867,17.7138,14.991,8.8105
2027-01-06,53.5317,4.0588,7.5586,17.884,15.135,8.8951
2027-01-07,53.7753,4.0773,7.5931,17.9654,15.2039,8.9356
2027-01-08,53.5587,4.0609,7.5625,17.893,15.1427,8.8996
2027-01-09,53.0363,4.0213,7.4887,17.7185,14.995,8.8128
2027-01-10,52.5935,3.9877,7.4262,17.5706,14.8698,8.7392
2027-01-11,52.5563,3.9849,7.4209,17.5582,14.8593,8.733
2027-01-12,52.946,4.0144,7.476,17.6883,14.9695,8.7978
2027-01-13,53.4626,4.0536,7.5489,17.8609,15.1155,8.8836
2027-01-14,53.7113,4.0724,7.584,17.944,15.1858,8.9249
2027-01-15,53.4994,4.0564,7.5541,17.8732,15.1259,8.8897
2027-01-16,52.9814,4.0171,7.481,17.7002,14.9795,8.8037
2027-01-17,52.543,3.9839,7.419,17.5537,14.8555,8.7308
2027-01-18,52.5102,3.9814,7.4144,17.5427,14.8462,8.7254
2027-01-19,52.904,4.0112,7.47,17.6743,14.9576,8.7908
2027-01-20,53.4247,4.0507,7.5436,17.8483,15.1048,8.8773
2027-01-21,53.6773,4.0699,7.5792,17.9326,15.1762,8.9193
2027-01-22,53.4689,4.0541,7.5498,17.863,15.1173,8.8847
2027-01-23,52.9543,4.015,7.4771,17.6911,14.9718,8.7992
2027-01-24,52.519,3.982,7.4157,17.5457,14.8487,8.7268
2027-01-25,52.4891,3.9798,7.4114,17.5357,14.8403,8.7218
2027-01-26,52.8857,4.0098,7.4674,17.6682,14.9524,8.7877
2027-01-27,53.4089,4.0495,7.5413,17.843,15.1003,8.8747
2027-01-28,53.6639,4.0688,7.5773,17.9282,15.1724,8.9171
2027-01-29,53.4578,4.0532,7.5482,17.8593,15.1141,8.8828
2027-01-30,52.9453,4.0144,7.4759,17.6881,14.9693,8.7977
