Date,Total_Emission,Aviation,Ground_Transport,Industry,Power,Residential
2028-01-01,54.4307,4.127,7.6856,18.1843,15.3892,9.0445
2028-01-02,53.9737,4.0923,7.6211,18.0317,15.26,8.9685
2028-01-03,53.9235,4.0885,7.614,18.0149,15.2458,8.9602
2028-01-04,54.3014,4.1172,7.6673,18.1411,15.3527,9.023
2028-01-05,54.808,4.1556,7.7389,18.3104,15.4959,9.1072
2028-01-06,55.0488,4.1738,7.7729,18.3908,15.564,9.1472
2028-01-07,54.8312,4.1573,7.7421,18.3181,15.5024,9.111
2028-01-08,54.3079,4.1177,7.6683,18.1433,15.3545,9.0241
2028-01-09,53.8644,4.084,7.6056,17.9952,15.2291,8.9504
2028-01-10,53.8266,4.0812,7.6003,17.9825,15.2184,8.9441
2028-01-11,54.2157,4.1107,7.6552,18.1125,15.3284,9.0088
2028-01-12,54.7317,4.1498,7.7281,18.2849,15.4743,9.0945
2028-01-13,54.9797,4.1686,7.7631,18.3678,15.5444,9.1357
2028-01-14,54.7671,4.1525,7.7331,18.2967,15.4843,9.1004
2028-01-15,54.2485,4.1132,7.6599,18.1235,15.3377,9.0142
2028-01-16,53.8095,4.0799,7.5979,17.9768,15.2136,8.9413
2028-01-17,53.7762,4.0774,7.5932,17.9657,15.2042,8.9357
2028-01-18,54.1695,4.1072,7.6487,18.0971,15.3154,9.0011
2028-01-19,54.6898,4.1466,7.7222,18.2709,15.4625,9.0875
2028-01-20,54.9419,4.1657,7.7578,18.3551,15.5337,9.1294
2028-01-21,54.7331,4.1499,7.7283,18.2854,15.4747,9.0947
2028-01-22,54.2181,4.1109,7.6556,18.1133,15.3291,9.0091
2028-01-23,53.7824,4.0778,7.5941,17.9678,15.2059,8.9368
2028-01-24,53.7521,4.0755,7.5898,17.9577,15.1974,8.9317
2028-01-25,54.1484,4.1056,7.6457,18.09,15.3094,8.9976
2028-01-26,54.6714,4.1452,7.7196,18.2648,15.4573,9.0845
2028-01-27,54.926,4.1645,7.7555,18.3498,15.5293,9.1268
2028-01-28,54.7197,4.1489,7.7264,18.2809,15.4709,9.0925
2028-01-29,54.2069,4.11,7.654,18.1096,15.326,9.0073
2028-01-30,53.7734,4.0771,7.5928,17.9647,15.2034,8.9353
2028-01-31,53.7451,4.075,7.5888,17.9553,15.1954,8.9306
2028-02-01,54.0872,4.1009,7.6371,18.0696,15.2921,8.9874
2028-02-02,54.5582,4.1366,7.7036,18.227,15.4253,9.0657
2028-02-03,54.7639,4.1522,7.7326,18.2957,15.4834,9.0999
2028-02-04,54.5124,4.1332,7.6971,18.2117,15.4123,9.0581
2028-02-05,53.959,4.0912,7.619,18.0268,15.2559,8.9661
2028-02-06,53.4899,4.0556,7.5528,17.87,15.1232,8.8882
2028-02-07,53.4317,4.0512,7.5445,17.8506,15.1068,8.8785
2028-02-08,53.8017,4.0793,7.5968,17.9742,15.2114,8.94
2028-02-09,54.3,4.1171,7.6671,18.1407,15.3523,9.0228
2028-02-10,54.5311,4.1346,7.6998,18.2179,15.4176,9.0612
2028-02-11,54.3023,4.1172,7.6675,18.1415,15.3529,9.0231
2028-02-12,53.7682,4.0767,7.592,17.963,15.2019,8.9344
