Date,AQI
22-01-2018,342
23-01-2018,324
24-01-2018,270
25-01-2018,243
26-01-2018,261
27-01-2018,286
28-01-2018,300
29-01-2018,302
30-01-2018,270
31-01-2018,244
01-02-2018,274
02-02-2018,293
03-02-2018,243
04-02-2018,256
05-02-2018,291
06-02-2018,287
07-02-2018,261
08-02-2018,308
09-02-2018,335
10-02-2018,341
11-02-2018,304
12-02-2018,178
13-02-2018,191
14-02-2018,187
15-02-2018,187
16-02-2018,235
17-02-2018,256
18-02-2018,257
19-02-2018,294
20-02-2018,296
21-02-2018,308
22-02-2018,300
23-02-2018,302
24-02-2018,320
25-02-2018,266
26-02-2018,156
27-02-2018,160
28-02-2018,272
01-03-2018,257
02-03-2018,260
03-03-2018,203
04-03-2018,178
05-03-2018,172
06-03-2018,167
07-03-2018,185
08-03-2018,245
09-03-2018,280
10-03-2018,170
11-03-2018,170
12-03-2018,214
13-03-2018,217
14-03-2018,267
15-03-2018,297
16-03-2018,256
17-03-2018,186
18-03-2018,169
19-03-2018,173
20-03-2018,217
21-03-2018,289
22-03-2018,186
23-03-2018,151
24-03-2018,175
25-03-2018,195
26-03-2018,183
27-03-2018,230
28-03-2018,255
29-03-2018,213
30-03-2018,218
31-03-2018,256
01-04-2018,195
02-04-2018,219
03-04-2018,207
04-04-2018,203
05-04-2018,290
06-04-2018,208
07-04-2018,143
08-04-2018,141
09-04-2018,120
10-04-2018,230
11-04-2018,141
12-04-2018,99
13-04-2018,188
14-04-2018,217
15-04-2018,224
16-04-2018,285
17-04-2018,244
18-04-2018,228
19-04-2018,244
20-04-2018,246
21-04-2018,356
22-04-2018,211
23-04-2018,160
24-04-2018,254
25-04-2018,266
26-04-2018,313
27-04-2018,310
28-04-2018,301
29-04-2018,248
30-04-2018,209
01-05-2018,177
02-05-2018,153
03-05-2018,160
04-05-2018,139
05-05-2018,173
06-05-2018,269
07-05-2018,211
08-05-2018,208
09-05-2018,163
10-05-2018,190
11-05-2018,256
12-05-2018,304
13-05-2018,215
14-05-2018,130
15-05-2018,164
16-05-2018,190
17-05-2018,243
18-05-2018,225
19-05-2018,242
20-05-2018,199
21-05-2018,183
22-05-2018,212
23-05-2018,301
24-05-2018,252
25-05-2018,251
26-05-2018,235
27-05-2018,277
28-05-2018,275
29-05-2018,285
30-05-2018,281
31-05-2018,208
01-06-2018,198
02-06-2018,173
03-06-2018,174
04-06-2018,183
05-06-2018,169
06-06-2018,136
07-06-2018,164
08-06-2018,179
09-06-2018,127
10-06-2018,158
11-06-2018,183
12-06-2018,296
13-06-2018,445
14-06-2018,431
15-06-2018,447
16-06-2018,369
17-06-2018,289
18-06-2018,171
19-06-2018,121
20-06-2018,177
21-06-2018,226
22-06-2018,236
23-06-2018,218
24-06-2018,183
25-06-2018,192
26-06-2018,110
27-06-2018,93
28-06-2018,76
29-06-2018,72
30-06-2018,96
01-07-2018,92
02-07-2018,106
03-07-2018,114
04-07-2018,137
05-07-2018,123
06-07-2018,147
07-07-2018,151
08-07-2018,182
09-07-2018,157
10-07-2018,134
11-07-2018,106
12-07-2018,143
13-07-2018,99
14-07-2018,76
15-07-2018,76
16-07-2018,87
17-07-2018,91
18-07-2018,106
19-07-2018,88
20-07-2018,80
21-07-2018,111
22-07-2018,61
23-07-2018,67
24-07-2018,90
25-07-2018,78
26-07-2018,74
27-07-2018,54
28-07-2018,57
29-07-2018,90
30-07-2018,115
31-07-2018,132
01-08-2018,153
02-08-2018,235
03-08-2018,213
04-08-2018,216
05-08-2018,241
06-08-2018,133
